appid,player_id,game_name,play_time,genres,categories,currency,initial_price,final_price,discount_percent
340200,0,Bloop,0,"['Casual', 'Indie', 'Simulation']",['Single-player'],0,0,0,0
340220,0,Shadows of War,180,"['Indie', 'Strategy']","['Family Sharing', 'Multi-player', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",GBP,169,169,0
340270,0,TIMEframe,192,"['Casual', 'Indie']","['Family Sharing', 'Full controller support', 'Single-player', 'Steam Achievements', 'Steam Trading Cards']",GBP,499,499,0
340320,0,Sinless,165,"['Adventure', 'Indie', 'RPG']","['Family Sharing', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",GBP,399,399,0
340330,0,Deity Quest,270,"['Adventure', 'Indie', 'RPG', 'Strategy']","['Cross-Platform Multiplayer', 'Family Sharing', 'Multi-player', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",GBP,850,850,0
340340,0,Domestic Dog,230,"['Casual', 'Indie', 'Simulation']","['Family Sharing', 'Full controller support', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",GBP,429,429,0
340350,0,Quintet,0,"['Action', 'Free To Play', 'Indie']","['Co-op', 'Cross-Platform Multiplayer', 'Multi-player', 'Online Co-op', 'Partial Controller Support', 'Single-player']",0,0,0,0
340360,0,Tomb of Tyrants,167,"['Casual', 'Indie', 'Strategy']","['Family Sharing', 'Full controller support', 'Single-player', 'Stats', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Trading Cards']",GBP,559,559,0
340450,0,Crashed Lander,160,['Indie'],"['Family Sharing', 'Partial Controller Support', 'Single-player', 'Steam Trading Cards', 'VR Support', 'VR Supported']",GBP,399,399,0
340460,0,Spartans Vs Zombies Defense,0,"['Action', 'Casual', 'Free To Play', 'Indie', 'Strategy']","['Single-player', 'Steam Achievements']",0,0,0,0
340470,0,You Are Not a Banana: Better Edition,144,"['Adventure', 'Casual', 'Indie']","['Family Sharing', 'Partial Controller Support', 'Single-player', 'Steam Achievements', 'Steam Trading Cards']",GBP,79,79,0
340490,0,Subterrain,229,['Indie'],"['Family Sharing', 'Full controller support', 'Remote Play on TV', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Trading Cards']",GBP,1299,1299,0
340550,0,Crunch Time!,0,"['Casual', 'Indie', 'Strategy']",['Single-player'],0,0,0,0
340630,0,Ninja Guy,0,"['Action', 'Casual', 'Indie']","['Family Sharing', 'Partial Controller Support', 'Single-player', 'Steam Achievements']",GBP,159,159,0
340730,0,Sunrider Academy,211,"['Casual', 'Indie', 'Simulation']","['Family Sharing', 'Single-player', 'Steam Achievements', 'Steam Trading Cards']",GBP,850,850,0
340800,0,Unhack,126,['Indie'],"['Family Sharing', 'Single-player', 'Steam Trading Cards']",GBP,279,279,0
340810,0,Deepworld,0,"['Action', 'Adventure', 'Casual', 'Early Access', 'Free To Play', 'Indie', 'Massively Multiplayer', 'RPG']","['Cross-Platform Multiplayer', 'MMO', 'Multi-player']",0,0,0,0
340830,0,Razenroth,302,"['Action', 'Indie', 'RPG']","['Family Sharing', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Trading Cards']",GBP,429,429,0
340860,0,RaidersSphere4th,210,"['Action', 'Indie', 'Simulation']","['Family Sharing', 'Partial Controller Support', 'Single-player', 'Steam Trading Cards', 'VR Support', 'VR Supported']",GBP,1675,1675,0
340950,0,Let There Be Life,66,['Indie'],"['Family Sharing', 'Single-player', 'Steam Cloud']",GBP,479,479,0
341000,0,Mad Games Tycoon,0,"['Casual', 'Indie', 'Simulation', 'Strategy']","['Family Sharing', 'Single-player', 'Steam Achievements']",GBP,1279,1279,0
341060,0,The Lady,253,"['Action', 'Adventure', 'Indie']","['Single-player', 'Steam Trading Cards']",0,0,0,0
341080,0,Nexus : One Core,0,['Action'],"['Co-op', 'Family Sharing', 'Multi-player', 'Partial Controller Support', 'Remote Play Together', 'Shared/Split Screen', 'Single-player', 'Steam Leaderboards']",GBP,399,399,0
341090,0,On A Roll 3D,147,"['Action', 'Adventure', 'Casual', 'Indie']","['Family Sharing', 'Full controller support', 'Single-player', 'Stats', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Steam Trading Cards']",GBP,339,339,0
341120,0,Glorkian Warrior: The Trials Of Glork,76,['Indie'],"['Family Sharing', 'Full controller support', 'Single-player', 'Steam Achievements', 'Steam Leaderboards', 'Steam Trading Cards']",GBP,429,145,66
341160,0,Steam Heroes,139,"['Action', 'Adventure', 'Casual', 'Indie']","['Family Sharing', 'Partial Controller Support', 'Single-player', 'Steam Trading Cards']",GBP,499,499,0
341170,0,Adventures of Chris,0,"['Action', 'Adventure', 'Indie']","['Family Sharing', 'Full controller support', 'Single-player', 'Steam Achievements', 'Steam Cloud']",GBP,1139,1139,0
341310,0,Greyfox,160,"['Adventure', 'Indie', 'RPG']","['Family Sharing', 'Full controller support', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards']",GBP,169,169,0
341380,0,Countless Rooms of Death,90,"['Adventure', 'Indie']","['Family Sharing', 'Single-player', 'Steam Trading Cards']",GBP,79,79,0
341440,0,BANZAI PECAN: The Last Hope For the Young Century,0,"['Action', 'Indie']","['Family Sharing', 'Partial Controller Support', 'Single-player', 'Steam Achievements']",GBP,199,199,0
341500,0,Camera Obscura,106,"['Action', 'Adventure', 'Indie', 'Strategy']","['Family Sharing', 'Full controller support', 'Includes level editor', 'Single-player', 'Stats', 'Steam Achievements', 'Steam Cloud', 'Steam Trading Cards', 'Steam Workshop']",GBP,159,159,0
341530,0,Stardust Vanguards,246,"['Action', 'Casual', 'Indie']","['Family Sharing', 'Full controller support', 'Multi-player', 'PvP', 'Remote Play Together', 'Shared/Split Screen', 'Shared/Split Screen PvP', 'Steam Achievements', 'Steam Trading Cards']",GBP,339,339,0
341540,0,TRIP Steam Edition,24,"['Adventure', 'Casual', 'Indie', 'Simulation']","['Family Sharing', 'Single-player']",GBP,89,89,0
